Hand_ID,Total_Bet,Total_Won,Net_Result,Total
RC3205944961,0.0,0.0,0.0,-3.12
RC3205904554,0.49,0.0,-0.49,-3.61
RC3205904528,0.05,0.0,-0.05,-3.66
RC3205904408,0.1,0.0,-0.1,-3.76
RC3209401066,0.25,0.0,-0.25,-4.01
RC3209401032,0.0,0.0,0.0,-4.01
RC3209400979,0.0,0.0,0.0,-4.01
RC3209400950,0.0,0.0,0.0,-4.01
RC3209400913,0.0,0.0,0.0,-4.01
RC3209400859,0.0,0.0,0.0,-4.01
RC3209400664,2.58,3.5999999999999996,1.0199999999999996,-2.99
RC3209400623,0.05,0.0,-0.05,-3.04
RC3209400599,0.0,0.0,0.0,-3.04
RC3209400570,0.0,0.0,0.0,-3.04
RC3209400529,0.0,0.0,0.0,-3.04
RC3209400480,0.0,0.0,0.0,-3.04
RC3209400447,0.0,0.0,0.0,-3.04
RC3209400270,0.30000000000000004,0.63,0.32999999999999996,-2.71
RC3209400204,0.05,0.0,-0.05,-2.76
RC3209400146,0.0,0.0,0.0,-2.76
RC3209400063,0.0,0.0,0.0,-2.76
RC3209399964,0.1,0.0,-0.1,-2.86
RC3209399937,0.05,0.0,-0.05,-2.91
RC3209399844,0.25,0.4,0.15000000000000002,-2.76
RC3209399786,0.0,0.0,0.0,-2.76
RC3209399700,0.1,0.0,-0.1,-2.86
RC3209399669,0.0,0.0,0.0,-2.86
RC3209399438,0.6,0.88,0.28,-2.58
RC3209398836,13.33,20.759999999999998,7.429999999999998,4.85
RC3209398795,0.05,0.0,-0.05,4.8
RC3209398768,0.0,0.0,0.0,4.8
RC3209398721,0.0,0.0,0.0,4.8
RC3209398689,0.1,0.0,-0.1,4.7
RC3209398462,0.25,0.0,-0.25,4.45
RC3209398271,0.3,0.0,-0.3,4.15
RC3209398237,0.0,0.0,0.0,4.15
RC3209398207,0.0,0.0,0.0,4.15
RC3209398185,0.0,0.0,0.0,4.15
RC3209397835,0.25,0.4,0.15000000000000002,4.3
RC3209397800,0.0,0.0,0.0,4.3
RC3209397739,0.1,0.0,-0.1,4.2
RC3209397698,0.0,0.0,0.0,4.2
RC3209397639,0.05,0.0,-0.05,4.15
RC3209397601,0.05,0.0,-0.05,4.1
RC3209397535,0.1,0.15000000000000002,0.05000000000000002,4.15
RC3209396743,3.01,0.0,-3.01,1.14
RC3209396718,0.05,0.0,-0.05,1.09
RC3209396690,0.0,0.0,0.0,1.09
RC3209396658,0.0,0.0,0.0,1.09
RC3209396353,0.42000000000000004,0.7000000000000001,0.28,1.37
RC3209396328,0.0,0.0,0.0,1.37
RC3209396163,0.25,0.4,0.15000000000000002,1.52
RC3209396079,0.0,0.0,0.0,1.52
RC3209396051,0.0,0.0,0.0,1.52
RC3209396020,0.0,0.0,0.0,1.52
RC3209395869,0.1,0.15000000000000002,0.05000000000000002,1.57
RC3209395831,0.0,0.0,0.0,1.57
RC3209395790,0.0,0.0,0.0,1.57
RC3209395696,0.1,0.0,-0.1,1.47
RC3209395636,0.05,0.0,-0.05,1.42
RC3209395610,0.0,0.0,0.0,1.42
RC3209395581,0.0,0.0,0.0,1.42
RC3209395556,0.0,0.0,0.0,1.42
RC3209395391,0.2,0.0,-0.2,1.22
RC3209395362,0.0,0.0,0.0,1.22
RC3209395135,0.3,0.0,-0.3,0.92
RC3209395088,0.05,0.0,-0.05,0.87
RC3209395058,0.0,0.0,0.0,0.87
RC3209395027,0.0,0.0,0.0,0.87
RC3209395001,0.0,0.0,0.0,0.87
RC3209394763,0.15,0.0,-0.15,0.72
RC3209354737,0.0,0.0,0.0,0.72
RC3209354697,0.0,0.0,0.0,0.72
RC3209354105,3.0,5.46,2.46,3.18
RC3209354051,0.05,0.0,-0.05,3.13
RC3209353862,0.25,0.0,-0.25,2.88
RC3209353769,0.1,0.15000000000000002,0.05000000000000002,2.93
RC3209353745,0.0,0.0,0.0,2.93
RC3209353681,0.1,0.15000000000000002,0.05000000000000002,2.98
RC3209353639,0.0,0.0,0.0,2.98
RC3209353600,0.0,0.0,0.0,2.98
RC3209353537,0.0,0.0,0.0,2.98
RC3209353460,0.05,0.0,-0.05,2.93
RC3209353424,0.0,0.0,0.0,2.93
RC3209353393,0.0,0.0,0.0,2.93
RC3209352967,0.75,0.0,-0.75,2.18
RC3209352939,0.0,0.0,0.0,2.18
RC3209352910,0.0,0.0,0.0,2.18
RC3209352848,0.05,0.0,-0.05,2.13
RC3209352583,1.37,1.84,0.47,2.6
RC3209352521,0.0,0.0,0.0,2.6
RC3209352497,0.0,0.0,0.0,2.6
RC3209352471,0.0,0.0,0.0,2.6
RC3209352309,0.25,0.4,0.15000000000000002,2.75
RC3209352251,0.0,0.0,0.0,2.75
RC3209352192,0.1,0.0,-0.1,2.65
RC3209352164,0.0,0.0,0.0,2.65
RC3209352017,0.05,0.0,-0.05,2.6
RC3209351631,0.49,0.0,-0.49,2.11
RC3209351162,1.62,2.4699999999999998,0.8499999999999996,2.96
RC3209350858,1.0,2.33,1.33,4.29
RC3209350816,0.0,0.0,0.0,4.29
RC3209350782,0.0,0.0,0.0,4.29
RC3209350719,0.05,0.0,-0.05,4.24
RC3209350647,0.0,0.0,0.0,4.24
RC3209350586,0.05,0.0,-0.05,4.19
RC3209350558,0.0,0.0,0.0,4.19
RC3209350486,0.0,0.0,0.0,4.19
RC3209350385,0.1,0.15000000000000002,0.05000000000000002,4.24
RC3209350270,0.25,0.4,0.15000000000000002,4.39
RC3209350240,0.0,0.0,0.0,4.39
RC3209350215,0.0,0.0,0.0,4.39
RC3209350155,0.1,0.15000000000000002,0.05000000000000002,4.44
RC3209350129,0.0,0.0,0.0,4.44
RC3209350039,0.25,0.4,0.15000000000000002,4.59
RC3209349997,0.05,0.0,-0.05,4.54
RC3209349971,0.0,0.0,0.0,4.54
RC3209349944,0.0,0.0,0.0,4.54
RC3209349903,0.0,0.0,0.0,4.54
RC3209349844,0.1,0.15000000000000002,0.05000000000000002,4.59
RC3209349822,0.0,0.0,0.0,4.59
RC3209349740,0.05,0.0,-0.05,4.54
RC3209349707,0.0,0.0,0.0,4.54
RC3209349646,0.0,0.0,0.0,4.54
RC3209349594,0.1,0.0,-0.1,4.44
RC3209349564,0.0,0.0,0.0,4.44
RC3209349505,0.0,0.0,0.0,4.44
RC3209348994,0.74,0.0,-0.74,3.7
RC3209348964,0.0,0.0,0.0,3.7
RC3209348938,0.0,0.0,0.0,3.7
RC3209348866,0.1,0.0,-0.1,3.6
RC3209348838,0.05,0.0,-0.05,3.55
RC3209348807,0.05,0.0,-0.05,3.5
RC3209348721,0.0,0.0,0.0,3.5
RC3209348691,0.0,0.0,0.0,3.5
RC3209348558,0.1,0.0,-0.1,3.4
RC3209348501,0.05,0.0,-0.05,3.35
RC3209348477,0.0,0.0,0.0,3.35
RC3209348440,0.0,0.0,0.0,3.35
RC3209348418,0.0,0.0,0.0,3.35
RC3209348395,0.0,0.0,0.0,3.35
RC3209348241,0.25,0.4,0.15000000000000002,3.5
RC3209348196,0.05,0.0,-0.05,3.45
RC3209348153,0.0,0.0,0.0,3.45
RC3209348097,0.1,0.0,-0.1,3.35
RC3209348072,0.0,0.0,0.0,3.35
RC3209348007,0.0,0.0,0.0,3.35
RC3209347751,0.25,0.0,-0.25,3.1
RC3209347713,0.0,0.0,0.0,3.1
RC3209347625,0.1,0.0,-0.1,3.0
RC3209347584,0.0,0.0,0.0,3.0
RC3209347555,0.05,0.0,-0.05,2.95
RC3209347482,0.25,0.4,0.15000000000000002,3.1
RC3209347367,0.25,0.4,0.15000000000000002,3.25
RC3209347317,0.05,0.0,-0.05,3.2
RC3209347253,0.1,0.0,-0.1,3.1
RC3209347191,0.0,0.0,0.0,3.1
RC3209347125,0.0,0.0,0.0,3.1
RC3209347002,0.25,0.4,0.15000000000000002,3.25
RC3209346202,4.09,0.0,-4.09,-0.84
RC3209346149,0.0,0.0,0.0,-0.84
RC3209346109,0.0,0.0,0.0,-0.84
RC3209346076,0.05,0.0,-0.05,-0.89
RC3209345907,0.1,0.15000000000000002,0.05000000000000002,-0.84
RC3209345859,0.0,0.0,0.0,-0.84
RC3209345818,0.0,0.0,0.0,-0.84
RC3209345748,0.1,0.0,-0.1,-0.94
RC3209345725,0.0,0.0,0.0,-0.94
RC3209345700,0.0,0.0,0.0,-0.94
RC3209345668,0.0,0.0,0.0,-0.94
RC3209345587,0.0,0.0,0.0,-0.94
RC3209345539,0.0,0.0,0.0,-0.94
RC3209345414,0.25,0.4,0.15000000000000002,-0.79
RC3209345374,0.0,0.0,0.0,-0.79
RC3209345318,0.1,0.15000000000000002,0.05000000000000002,-0.74
RC3209344811,4.09,6.08,1.9900000000000002,1.25
RC3209344784,0.0,0.0,0.0,1.25
RC3209304740,0.0,0.0,0.0,1.25
RC3209304441,0.88,1.38,0.4999999999999999,1.75
RC3209304346,0.1,0.0,-0.1,1.65
RC3209304206,0.56,0.83,0.2699999999999999,1.92
RC3209304170,0.0,0.0,0.0,1.92
RC3209303095,13.54,16.56,3.0199999999999996,4.94
